feature_index,median_log2FC_SUP_vs_C,mean_log2FC_SUP_vs_C,wilcoxon_p,wilcoxon_q_bh,sup_detect_frac,c_detect_frac,mean_sup_rel_abund,tau_species_specificity,top_species,is_secreted,is_uniquely_secreted,row ID,row m/z,row retention time,adduct,parent_mass,charge,has_ms2,detection_count,detection_rate
195,7.464005066941175,6.102143729571828,6.942392989414462e-43,1.553406799604288e-42,0.8424657534246576,0.7328767123287672,0.0017831118782762516,0.8534481000639034,Rhodotorula pacifica,True,True,205,400.7355,2.010054,[M+2H]2+,799.4563,2,True,468,0.74
3043,5.978507527624686,6.406840085583663,7.466545215061648e-48,2.199163506805894e-47,0.9828767123287672,0.9246575342465754,0.000968595482854881,0.8517480526785045,Rhodotorula sp. clade I,True,True,3663,279.1698,1.351892,[M+H]1+,,1,True,573,0.91
9421,4.796614364200351,4.205288893458512,9.125400890746028e-41,1.9350304771184644e-40,0.8013698630136986,0.7226027397260274,0.00044093015234196063,0.8720743957291539,Rhodotorula pacifica,True,True,14095,800.4647,2.048744,[M+NH3+H]1+,782.4309,1,True,449,0.71
1159,4.415900777596814,3.9852501924200063,4.460884677927588e-44,1.0369366433235605e-43,0.8938356164383562,0.726027397260274,0.00026624507360671536,0.8627802513291836,Rhodotorula pacifica,True,True,1351,392.2224,2.024,[M+2H]2+,782.4309,2,True,483,0.77
1121,4.365419318989397,4.656465786842933,6.500752503680841e-34,1.2185273716299264e-33,0.6712328767123288,0.0,0.00023563887491316672,0.865899507675189,Pseudomicrostroma phylloplanum,True,True,1307,1414.7526,2.602248,[M+H]1+,1413.7453,1,True,200,0.32
1359,5.109783491220917,5.27286383522001,6.378730079340898e-43,1.4296338638094627e-42,0.8527397260273972,0.06164383561643835,0.00016863871902878007,0.85719462348305,Rhodotorula sp. clade I,True,True,1589,358.2692,1.949,[M+H]1+,,1,True,281,0.45
53,3.889696432112408,3.551342315177481,6.424504560566469e-43,1.4391031200544722e-42,0.8561643835616438,0.030821917808219176,0.00014715203700091067,0.9830807005270114,Rhodotorula dairenensis,True,True,54,394.717,1.169239,[M+2H]2+,787.4191,2,True,269,0.43
175,5.611072948300218,5.629431024211166,3.834017178359902e-49,1.477636660928157e-48,0.9897260273972602,0.07191780821917808,0.00014110560939678806,0.90806971300524,Rhodotorula paludigena,True,True,182,614.349,1.43716,[M+H]1+,613.3417,1,True,321,0.51
2058,6.039157261540875,4.631186177960734,3.8675620289481876e-38,7.79815099466442e-38,0.726027397260274,0.4075342465753425,0.00012910071722869188,0.8508977083939855,Rhodotorula pacifica,True,True,2441,802.4699,2.024,[M+H]1+,799.4563,1,True,333,0.53
2468,4.332876023204367,3.5554735362702794,4.502354549189702e-40,9.419991608681298e-40,0.7705479452054794,0.702054794520548,0.00011734013930480606,0.867869088891403,Rhodotorula pacifica,True,True,2951,392.724,2.015,[M+2H]2+,782.4309,2,True,435,0.69
90,4.128062450345462,3.5816172530903185,7.876200154810866e-43,1.7587380493351252e-42,0.8493150684931506,0.06164383561643835,0.00011380104874184512,0.8769887725702712,Rhodotorula paludigena,True,True,92,581.8127,1.142532,[M+2H]2+,1161.611,2,True,277,0.44
200,1.3810770026649988,1.143559258079382,4.772148508185014e-16,6.940843301779111e-16,0.9863013698630136,0.976027397260274,0.00010281149759351483,0.9726803182002519,Rhodotorula sphaerocarpa,True,True,210,383.2778,5.14,[M-2H2O+H]1+,418.2915,1,True,596,0.95
159,4.436803358838159,3.13019087796671,7.888763208243135e-35,1.499700625270945e-34,0.6678082191780822,0.14726027397260275,9.897546571861822e-05,0.9683285416701777,Rhodotorula paludigena,True,True,164,743.391,1.567084,[M+H]1+,742.3837,1,True,246,0.39
203,2.285518083457296,1.6330433379425595,0.025834535953755174,0.027979419177501956,0.9897260273972602,0.7226027397260274,7.859783951278202e-05,0.852212231482385,Rhodotorula taiwanensis,True,True,214,531.3506,5.409,[M+H]1+,530.3433,1,True,519,0.83
261,3.8989622568603384,3.50543281037858,2.9868109665490466e-43,6.752574294806067e-43,0.8664383561643836,0.030821917808219176,6.951369240463306e-05,0.9598118628230994,Rhodotorula paludigena,True,True,278,760.358,0.883484,[M+2H]2+,,2,True,270,0.43
182,3.511879778701731,2.2251322864829293,1.6981659947845716e-28,2.9479641822727068e-28,0.541095890410959,0.04794520547945205,6.912425312425601e-05,0.9091770457172235,Rhodotorula paludigena,True,True,191,582.314,1.142532,[M+H]1+,,1,True,179,0.28
179,4.704537097729386,4.726704181010344,5.646719428560811e-49,1.9768964996196178e-48,0.9828767123287672,0.04794520547945205,6.705962181827338e-05,0.955095658086621,Rhodotorula dairenensis,True,True,187,395.2186,1.178241,[M+2H]2+,787.4191,2,True,313,0.5
370,4.429808825642674,3.3691479680260477,1.5364874047298175e-39,3.184102562371194e-39,0.7568493150684932,0.1232876712328767,6.323219847148356e-05,0.9145459240382311,Rhodotorula paludigena,True,True,399,639.326,1.468286,[M+2H]2+,1276.6391,2,True,267,0.42
348,5.293513240000497,5.144115200170055,3.8741367757129365e-49,1.477636660928157e-48,0.9863013698630136,0.08561643835616438,5.892903564475161e-05,0.9439992901414184,Rhodotorula dairenensis,True,True,374,395.2191,1.250979,[M+H]1+,,1,True,324,0.52
324,4.593087358379489,3.958335301968046,1.2955877179207427e-41,2.8048168887966024e-41,0.8321917808219178,0.03424657534246575,5.8083947614192145e-05,0.9355416489190318,Rhodotorula paludigena,True,True,345,773.3807,2.054799,[M+H]1+,772.3734,1,True,261,0.41
292,4.221813806643823,4.148108496761846,8.230384883405496e-49,2.7561748188595153e-48,0.9794520547945206,0.10273972602739725,5.744761614490944e-05,0.9827848373137318,Rhodotorula sphaerocarpa,True,True,310,411.2159,1.015802,[M+2H]2+,820.4167,2,True,328,0.52
372,3.7966091631014853,2.8615787920076112,1.6881199841595486e-36,3.309768977346188e-36,0.7157534246575342,0.04794520547945205,5.0236668511252335e-05,0.9571304352502795,Rhodotorula paludigena,True,True,401,586.3179,1.11135,[M+H]1+,,1,True,231,0.37
368,2.8558292641618683,2.041006182282986,6.159971909309493e-27,1.0444836090411402e-26,0.5136986301369864,0.05136986301369863,4.704414389881042e-05,0.9712589503721796,Rhodotorula paludigena,True,True,395,612.3335,1.07837,[M+H]1+,611.3262,1,True,169,0.27
583,1.6439929011009469,1.622807287097399,8.422243127638869e-26,1.3937792558577162e-25,0.678082191780822,0.09931506849315068,4.6936364472022325e-05,0.8590601856072909,Rhodotorula taiwanensis,True,True,653,601.3168,4.876022,[M+Na]1+,578.3277,1,True,235,0.37
470,4.268650772435457,4.124265524072477,5.4147776474556574e-48,1.604393115715635e-47,0.9623287671232876,0.10616438356164383,4.595438641242921e-05,0.8625109134024991,Rhodotorula paludigena,True,True,520,541.2936,1.023581,[M+2H]2+,1079.5695,2,True,325,0.52
1024,1.5485935836957894,1.2530190064450637,3.788776437663393e-18,5.6582202615141315e-18,0.9726027397260274,0.476027397260274,4.2896000924346595e-05,0.8881025325660913,Rhodotorula sphaerocarpa,True,True,1178,559.3068,4.748031,[M+Na]1+,536.3179,1,True,435,0.69
576,4.326897353180998,3.30211870384199,3.2972260929141066e-36,6.426049707574365e-36,0.7191780821917808,0.023972602739726026,4.2443510831764896e-05,0.900325351269127,Rhodotorula paludigena,True,True,645,615.3524,1.445155,[M+H]1+,613.3417,1,True,225,0.36
14661,3.8163923192379103,3.2211194891415564,1.2790338049448567e-38,2.603661984589231e-38,0.821917808219178,0.03767123287671233,4.2388510687670505e-05,0.985968997394527,Rhodotorula dairenensis,True,True,39495,394.7175,1.320161,[M+H]1+,,1,True,259,0.41
308,3.9388624978410722,2.6372042415245938,2.005022341691016e-30,3.578018453288645e-30,0.589041095890411,0.02054794520547945,4.215015076267667e-05,0.9806358454834044,Rhodotorula paludigena,True,True,327,411.717,1.61766,[M+2H]2+,821.4192,2,True,185,0.29
554,3.519078727691795,2.2843643936353137,1.9423613274338613e-29,3.4206000862249107e-29,0.5684931506849316,0.0547945205479452,3.551927014449291e-05,0.9614164098025038,Rhodotorula paludigena,True,True,620,673.3497,1.1973,[M+H]1+,672.3424,1,True,186,0.3
4211,3.239846837675097,3.9099952065284778,3.834017178359902e-49,1.477636660928157e-48,0.9897260273972602,0.0273972602739726,3.5389757931730496e-05,0.8555362321732806,Rhodotorula pacifica,True,True,5121,292.2012,3.175306,[M+H]1+,,1,True,308,0.49
571,4.317967482754256,4.259601279511056,5.357315199339612e-48,1.5896742702691594e-47,0.9657534246575342,0.07876712328767123,3.387166873048727e-05,0.9158576845969122,Rhodotorula dairenensis,True,True,638,386.2038,1.178241,[M+2H]2+,,2,True,316,0.5
1318,4.486597599470745,4.007793385125881,1.4053890479318117e-43,3.209286064153013e-43,0.8732876712328768,0.0410958904109589,3.2819171173351235e-05,0.9332581747004695,Rhodotorula paludigena,True,True,1536,681.3571,1.385566,[M+3H]3+,,3,True,277,0.44
901,1.0810151598328028,0.5725565453546236,4.904660135058493e-07,6.16271036511581e-07,0.952054794520548,0.3184931506849315,3.28022679163398e-05,0.9819371624079244,Rhodotorula sphaerocarpa,True,True,1036,401.2885,5.271,[M+H]1+,400.2812,1,True,396,0.63
746,4.292806048977184,3.4543788402045297,1.8134176168501025e-39,3.750378183917421e-39,0.7808219178082192,0.06164383561643835,3.178718182654822e-05,0.8926213207759718,Rhodotorula paludigena,True,True,848,774.3839,2.054799,[M+H]1+,772.3734,1,True,255,0.41
1256,4.452189302978557,4.427934637184683,3.834017178359902e-49,1.477636660928157e-48,0.9897260273972602,0.023972602739726026,3.175554806514312e-05,0.9509898963731831,Rhodotorula sphaerocarpa,True,True,1460,646.3557,2.295938,[M+2H]2+,1290.6978,2,True,307,0.49
1086,3.571303724601925,2.3628698512714683,4.7212932311259275e-31,8.495830878222637e-31,0.6061643835616438,0.04452054794520548,3.100922320830181e-05,0.9858186144446727,Rhodotorula toruloides,True,True,1262,890.4128,2.370515,[M+H]1+,,1,True,195,0.31
1839,4.109545805215618,3.8935406876432963,2.9180598375479683e-49,1.477636660928157e-48,0.9794520547945206,0.476027397260274,2.8954770232166358e-05,0.866259206565153,Rhodotorula sphaerocarpa,True,True,2169,402.2105,1.0248,[M+2H]2+,,2,True,438,0.7
1805,4.575960035157555,4.497686575135868,4.081090415538954e-49,1.5464586697582878e-48,0.9794520547945206,0.07876712328767123,2.8939492429956327e-05,0.8563863954332359,Rhodotorula dairenensis,True,True,2128,602.3481,1.178241,[M+H]1+,,1,True,321,0.51
1068,4.2829557413394355,2.9245434990771346,2.97762754961338e-32,5.455532100099363e-32,0.6301369863013698,0.0547945205479452,2.8052665870060345e-05,0.8505239816869672,Rhodotorula paludigena,True,True,1239,931.4495,1.769275,[M+Na]1+,908.4603,1,True,207,0.33
1010,3.600761627436195,3.2304504469739195,1.9613853208739894e-46,5.066162432470978e-46,0.9178082191780822,0.2773972602739726,2.744960236036255e-05,0.8723050253134261,Rhodotorula paludigena,True,True,1159,592.271,0.854166,[M+H]1+,591.2637,1,True,362,0.58
1640,4.499291819855701,3.5559332034231455,5.955154740171168e-38,1.1964520508854166e-37,0.7431506849315068,0.023972602739726026,2.6204098140011016e-05,0.8669386989623267,Rhodotorula sphaerocarpa,True,True,1930,539.2902,1.632332,[M+H]1+,,1,True,234,0.37
6749,2.758603048675686,2.273724543643147,3.1758002012099036e-37,6.309107029091369e-37,0.7431506849315068,0.5445205479452054,2.5618721288446808e-05,0.8822930370872151,Pseudomicrostroma phylloplanum,True,True,8585,679.3747,3.629,[M+2H]2+,1356.7353,2,True,382,0.61
6382,4.061039335555991,3.232039363513727,3.843940385980672e-37,7.621613983712072e-37,0.7054794520547946,0.2054794520547945,2.527012151100683e-05,0.8592855351653652,Rhodotorula araucariae,True,True,8025,524.9242,1.475301,[M+H]1+,,1,True,269,0.43
1200,4.1477715421076065,4.152175226092418,5.646719428560811e-49,1.9768964996196178e-48,0.9828767123287672,0.05821917808219178,2.524372011223381e-05,0.9135602686342501,Rhodotorula dairenensis,True,True,1399,386.7056,1.152235,[M+2H]2+,,2,True,315,0.5
1049,3.9784267238526114,3.1691170805734985,1.1648525210802724e-38,2.372411943419754e-38,0.7671232876712328,0.023972602739726026,2.4795377533415902e-05,0.856452185475312,Rhodotorula paludigena,True,True,1211,626.3487,1.325225,[M+H]1+,,1,True,240,0.38
3826,2.8395629164130396,2.4832225367294996,3.453601317175553e-27,5.889549620143168e-27,0.5171232876712328,0.0410958904109589,2.4414771475674712e-05,0.8565204394166462,Rhodotorula sp. clade I,True,True,4646,297.1262,1.109784,[M+CH3OH+H]1+,264.0893,1,True,174,0.28
1304,4.248315150827159,2.6551326965838182,1.387906287444029e-28,2.411669910260228e-28,0.547945205479452,0.0136986301369863,2.3868050149339467e-05,0.871816079491789,Rhodotorula paludigena,True,True,1521,772.4174,1.588309,[M+H]1+,,1,True,169,0.27
1244,3.8859580896451655,3.7637721115485947,2.5217816936900403e-48,7.801806899288832e-48,0.9726027397260274,0.03424657534246575,2.3867236928686025e-05,0.8584982593697043,Rhodotorula paludigena,True,True,1448,655.3395,0.849503,[M+ACN+H]1+,613.3059,1,True,303,0.48
903,3.9853681849144813,3.5719721721924427,1.7880338856070707e-46,4.6280989366436114e-46,0.9075342465753424,0.1917808219178082,2.311294926485608e-05,0.9141962086331248,Rhodotorula dairenensis,True,True,1038,386.2042,1.250979,[M+H]1+,,1,True,332,0.53
807,3.808041750317565,2.7647328897295704,1.4579385692155708e-34,2.7600617494411383e-34,0.6815068493150684,0.03424657534246575,2.2094438889696686e-05,0.9332118889486136,Rhodotorula paludigena,True,True,924,655.3394,1.171315,[M+H]1+,,1,True,213,0.34
6615,3.5367749326787417,3.0081046058299785,3.3698926793173186e-36,6.566887870016757e-36,0.6986301369863014,0.07191780821917808,2.1853046868068937e-05,0.8671117245932467,Pseudomicrostroma phylloplanum,True,True,8362,1357.7426,3.638,[M+H]1+,1356.7353,1,True,226,0.36
907,2.6736604290208374,1.9121476600237621,2.586120298379592e-35,4.961996794306333e-35,0.678082191780822,0.17123287671232876,1.956370533922809e-05,0.9143671806951695,Rhodotorula paludigena,True,True,1042,553.2914,0.53744,[M+2H]2+,1104.5659,2,True,257,0.41
1202,3.661432309630376,2.3539458455839415,2.1478613374546053e-30,3.831662628433492e-30,0.5856164383561644,0.030821917808219176,1.9547560247567164e-05,0.8634175740401534,Rhodotorula paludigena,True,True,1401,587.3216,1.11135,[M+H]1+,,1,True,189,0.3
1652,3.9699855272824394,2.8879885719026452,7.059480856542471e-35,1.342987086185808e-34,0.684931506849315,0.030821917808219176,1.912087429203791e-05,0.8621603553354713,Rhodotorula paludigena,True,True,1944,669.355,1.020404,[M+H]1+,,1,True,217,0.34
2632,3.6880217881481494,3.0221948295531225,5.6976583800763695e-40,1.1897987043013331e-39,0.797945205479452,0.05136986301369863,1.862117537625192e-05,0.9485790114398959,Rhodotorula toruloides,True,True,3163,904.4282,2.643459,[M+H]1+,,1,True,255,0.41
5984,3.518258865819174,3.2743977696831683,3.019179211471191e-48,9.270395728848936e-48,0.958904109589041,0.4315068493150685,1.8517438424125606e-05,0.8588699807489605,Rhodotorula graminis,True,True,7457,428.2073,0.948224,[M+2H]2+,,2,True,419,0.67
1685,4.043429496092212,3.9212769713850912,8.144560602507305e-49,2.740357720645844e-48,0.9828767123287672,0.02054794520547945,1.7815928693630795e-05,0.8774436868237647,Rhodotorula taiwanensis,True,True,1985,992.5173,3.025382,[M+2H]2+,,2,True,304,0.48
1171,3.606004267171014,2.3952583862236856,5.617383373553283e-30,9.967742857113453e-30,0.589041095890411,0.003424657534246575,1.7751156517719836e-05,0.8610050775730784,Rhodotorula paludigena,True,True,1365,731.4068,1.076559,[M+H]1+,730.3995,1,True,182,0.29
2747,4.121020694775072,3.5487647300433505,4.232201392012605e-42,9.270428263727181e-42,0.839041095890411,0.017123287671232876,1.7573994551025488e-05,0.8683954257632416,Rhodotorula paludigena,True,True,3299,370.1909,1.360835,[M+H]1+,,1,True,261,0.41
1889,3.67687787935059,2.9528068380534283,7.578414537288748e-38,1.5194042011171105e-37,0.7534246575342466,0.023972602739726026,1.7114257712908426e-05,0.9427200374420743,Rhodotorula paludigena,True,True,2234,419.7146,1.094,[M+2H]2+,837.414,2,True,238,0.38
13957,3.9530716068328315,2.812650437787524,8.791274285623569e-33,1.6216296773526556e-32,0.6541095890410958,0.023972602739726026,1.6645502082751172e-05,0.8590544019599753,Rhodotorula paludigena,True,True,34500,411.7169,1.711,[M+H]1+,,1,True,205,0.33
2154,3.7814202917453956,3.1968445722039114,4.166992070799636e-40,8.723921869029567e-40,0.791095890410959,0.07191780821917808,1.654510091682248e-05,0.9583307357668674,Rhodotorula kratochvilovae,True,True,2566,465.2151,1.286946,[M+2H]2+,928.4155,2,True,264,0.42
2398,3.721044266465511,3.0796401573435124,7.435852843553698e-41,1.5808688966534628e-40,0.8013698630136986,0.1643835616438356,1.615123375381671e-05,0.8702099582904054,Rhodotorula diobovata,True,True,2857,434.2082,0.953558,[M+2H]2+,866.401,2,True,293,0.47
